unknown_id,interface,field,current_value,status,blocking_gate,resolution_evidence_required
U-G07-01,G07,B601_contact_occurrence_and_local_frame,UNKNOWN,HOLD,G4,named occurrence selector and CS_S transform
U-G07-02,G07,canonical_primary_load_introduction_face,UNKNOWN,HOLD,G4,named face and panel penetration or independent shoe disposition
U-G07-03,G07,Tx_axial_stop_geometry_normal_gap_and_assembly_direction,UNKNOWN,HOLD,G4,native geometry and readback
U-G07-04,G07,pad_area_curvature_material_thickness_hardness,UNKNOWN,HOLD,G4,qualified contact detail
U-G07-05,G07,friction_allowable_pressure_and_environment_cycles,UNKNOWN,HOLD,G4,material and environment qualification
U-G07-06,G07,contact_kn_kt_cn_ct,UNKNOWN,HOLD,G4,test or justified contact model
U-G07-07,G07,tolerance_stack_shim_or_floating_compensation,UNKNOWN,HOLD,G4,tolerance model and assembly method
U-G07-08,G07,guide_clearance_and_allowed_slip,UNKNOWN,HOLD,G4,native limits and tolerance readback
U-G07-09,G07,preload_vector_value_loss_budget_and_reaction_face,UNKNOWN,HOLD,G4,approved preload requirement and analysis
U-G07-10,G07,fasteners_pins_holes_edge_distance_tool_access,UNKNOWN,HOLD,G4,interface detail and serviceability proof
U-G07-11,G07,release_vector_stroke_residual_envelope_and_recontact,UNKNOWN,HOLD,G4,release concept and continuous sweep
U-G08-01,G08,B601_contact_occurrence_and_local_frame,UNKNOWN,HOLD,G4,named occurrence selector and CS_S transform
U-G08-02,G08,canonical_primary_load_introduction_face,UNKNOWN,HOLD,G4,named face and panel penetration or independent shoe disposition
U-G08-03,G08,Tx_float_or_stop_geometry_and_gap,UNKNOWN,HOLD,G4,native geometry and readback
U-G08-04,G08,accepted_2P_numeric_state_to_contact_binding,UNKNOWN,HOLD,G3_G4,independent 2P driver and calibrated state evidence
U-G08-05,G08,gripper_width_change_and_guide_clearance,UNKNOWN,HOLD,G3_G4,2P sweep against named G08 faces
U-G08-06,G08,obsolete_support_suppression_or_replacement_map,UNKNOWN,HOLD,G2_G4,old-to-new occurrence map
U-G08-07,G08,gripper_liftoff_2P_and_HDRM_residual_continuous_sweep,UNKNOWN,HOLD,G6,continuous clearance evidence
U-G08-08,G08,pad_contact_and_preload_properties,UNKNOWN,HOLD,G4,qualified contact and preload definition
U-HDRM-01,HDRM,device_count_and_architecture,UNKNOWN,HOLD,G4,selected concept and supplier or internal design evidence
U-HDRM-02,HDRM,type_source_mass_and_mount_interface,UNKNOWN,HOLD,G4,approved hardware definition
U-HDRM-03,HDRM,preload_axis_value_reaction_face_and_loss_budget,UNKNOWN,HOLD,G4,approved preload requirement and analysis
U-HDRM-04,HDRM,release_vector_stroke_time_shock_and_residual_body,UNKNOWN,HOLD,G4,release qualification plan and geometry
U-HDRM-05,HDRM,released_item_retention,UNKNOWN,HOLD,G4,retention design and verification
U-HDRM-06,HDRM,harness_power_ignition_connector_EMI_or_pyro_boundary,UNKNOWN,HOLD,G4,electrical and safety interface control
U-HDRM-07,HDRM,independent_release_confirmation_sensor_and_redundancy,UNKNOWN,HOLD,G4,sensor architecture and fault analysis
U-HDRM-08,HDRM,arm_lift_interlock_partial_release_and_recontact_response,UNKNOWN,HOLD,G4,validated state machine and failure tests
U-HDRM-09,HDRM,maintenance_replacement_direction_and_cycle_life,UNKNOWN,HOLD,G4,service procedure and qualification plan

